number,name,status
4,Python registration in the Windows registry,Active
3,The Theory of Type Hints,Final
2,Literature Overview for Type Hints,Final
9,Pure Python/C Accelerator Module Compatibility Requirements,Final
7,Notation For Positional-Only Parameters,Final
2,API for Cryptographic Hash Functions v2.0,Final
4,The “python” Command on Unix-Like Systems,Active
4,IDLE Enhancement Exception for All Branches,Active
7,reStructuredText Docstring Format,Active
0,Code Migration and Modernization,Active
3,Python Web Server Gateway Interface v1.0,Final
7,Docstring Conventions,Active
2,API for Block Encryption Algorithms v1.0,Final
7,API for Cryptographic Hash Functions,Final
9,Python Database API Specification v2.0,Final
8,Python Database API Specification v1.0,Final
1,Deprecating PGP signatures for CPython artifacts,Active
